prompt,answer,response
突然发烧，全身发抖，四肢酸疼无力,可以说发烧往往与感染有关，发烧分三个时期，有体温上升期高热持续期和体温下降期，在体温上升期可以有寒战的情况，你的情况还是考虑与感染有关，寒战过后可以出现皮肤燥热，以后病情控制开始出汗 你可以吃点白加黑、阿莫西林胶囊治疗,您好，根据您的描述，您可能正在经历一次发热和全身发抖的症状。这种情况可能是由多种原因引起的，例如感染、药物反应、神经系统疾病等。建议您及时就医，进行相关检查和诊断，以确定病因并采取相应的治疗措施。在等待就医的过程中，您可以多喝水，保持充足的休息，避免过度劳累和过度运动。如果症状加重或出现其他不适症状，请及时就医。祝您早日康复！
便秘2年多了每次上厕所总是排便困难吃什么药管用？,一般引起便秘的原因很多，肠道蠕动减慢、饮水量较少、辛辣刺激的食物摄入量过多、不完全性肠梗阻、活动量较少等都会导致便秘，你的现象考虑是肠道蠕动较慢和活动较少造成的可能性比较大。还是比较严重的。建议你平素适量运动，特别是在饭前和饭后进行散步等运动，促进胃肠道蠕动和食物消化，多喝水，多吃蔬菜水果和含粗纤维较多的食物，少吃辛辣刺激的食物和油炸食品，可以应用麻仁丸软化大便，也可以应用果导片对症治疗，养成定时排便的习惯 便秘多与进食中含有蔬菜、水果较少、工作压力过大及没有良好排便习惯有关。最主要是饮食调节，食物易清淡易消化，多吃蔬菜及水果，多饮水尤其是指空腹时喝一些蜂蜜水，养成定时排便习惯，最好不要服用一些润肠通便药物，长期服用会出现依赖性等 便秘是临床常见的复杂症状，而不是一种疾病，主要是指排便次数减少、粪便量减少、粪便干结、排便费力等。你的这个情况不能单单靠吃药来解决，要找一找便秘的原因，例如有痔疮，或者其他的内分泌疾病。如果没有一方面可以用一些药物包括芦荟胶囊，果导片，同时需要多饮水，注意多吃水果蔬菜，不要吃辛辣刺激等食物，注意养成定期排便的好习惯，只有这样才能最终的改善便秘。,您好，便秘是一种常见的消化系统问题，但是长期便秘可能会对身体造成一定的影响。建议您在饮食方面多注意，增加膳食纤维的摄入量，如蔬菜、水果、全麦面包等，同时多喝水，保持身体水分充足。此外，适当的运动也有助于促进肠道蠕动，缓解便秘。如果以上方法无效，可以考虑使用轻泻剂，如乳果糖等，但是需要在医生的指导下使用。如果便秘持续时间较长，建议及时就医，排除器质性病变的可能性。希望我的回答对您有所帮助。
孕妇霉菌性阴道炎我怀孕13周现在患有霉菌阴道炎，请问我可以用克霉唑栓阴道给药吗？,你的情况考虑霉菌性阴道炎的问题。霉菌性阴道炎可以采用小苏打水清洗外阴，制霉菌素阴道栓治疗，内服酮康唑，克霉唑。治疗中禁性交，内裤每日更换洗净煮沸消毒。治疗一疗程后，霉菌检查为阴性，之后每次月经周期后复查霉菌为阴性，连续巩固治疗三个疗程才算治愈。最好男方也应该同时治疗，口服制霉菌素片一周即可。鞋袜与内裤分开洗。否则就容易复发。复发的原因一般是没有彻底治疗和性伴侣再次传染 霉菌性阴道炎会有阴道分泌物增加，白带粘稠如奶酪样或伴有如豆渣样白色小块从阴道排出，略有臭味。阴道感疼痛、刺激感，并有性交困难。局部用2％～4％碳酸氢钠溶液（小苏打水）冲洗外阴及阴道，或坐浴，10次为一疗程。制霉菌素栓剂，每晚一个，塞入阴道，每个含制霉菌素20万单位，10～14天为一疗程，临床治愈率达80％。咪唑类栓剂，如克霉唑、咪康咪、益康唑等：可用克霉唑栓剂一次500毫克塞入阴道，也可用小剂量每次100毫克，10～14天为一疗程，临床治愈率达90％。达克宁栓放入阴道深部,您好，根据您的描述，您怀孕13周，患有霉菌性阴道炎。在孕期，药物治疗需要谨慎，因为一些药物可能会对胎儿产生不良影响。因此，建议您在医生的指导下进行治疗。如果您的症状比较轻微，可以尝试使用一些局部药物，如克霉唑栓等。但是，如果您的症状比较严重，建议您及时就医，接受医生的治疗。同时，注意个人卫生，保持外阴清洁干燥，避免穿紧身裤和合成纤维内裤，以减少症状的发生。希望我的回答对您有所帮助。如果您还有其他问题，请随时向我咨询。祝您早日康复！
有子宫肌瘤能吃吗坤宝丸，现在有一个多月没来月经，冒汗。想请问一下有子宫肌瘤能吃吗坤宝丸？,口服坤宝丸冒汗这是药物引起的，坤宝丸子宫肌瘤患者可以口服的，其次子宫肌瘤小于五厘米可以口服药物治疗的，大于五厘米是需要采取手术治疗的。 子宫肌瘤可以吃坤宝丸，对子宫肌瘤的大小无明显影响。如果子宫肌瘤不影响月经建议你定期复查即可，如果影响月经，可以手术治疗。,您好，子宫肌瘤是一种常见的妇科疾病，但是需要根据您的具体情况来判断是否适合使用坤宝丸。如果您的子宫肌瘤较小，没有症状，可以暂时观察，不需要治疗。如果子宫肌瘤较大，有症状，可以考虑手术治疗。同时，您提到已经一个多月没有来月经，可能与子宫肌瘤有关，建议您及时就医，进行详细的检查和诊断，以便及时治疗。冒汗可能是身体虚弱的表现，建议您注意休息，保持良好的饮食和生活习惯，适当进行运动，增强身体免疫力。如果您还有其他问题，可以随时向我咨询。祝您健康！
全部症状：胃返酸，冷、涨、隐隐作痛，特别不舒服，最近两月简直不能吃东西，吃了更不舒服，有时发干呕。发病时间及原因：十多年了，住年吃饭不规律，饿的时间很多。断治疗情况：断断续续吃药，有时中药有时西药。2010年10月11日做胃镜检查说：（慢性浅表性胃窦炎、胃窦黏膜充血、胃体黏膜下隆起病变。）,可能首先还是考虑炎症引起的，当然必要时可以作病理检查的。 引发胃疼的最常见疾病就是慢性胃炎和消化性溃疡，但胃疼并非都是由胃病引起，其他脏器的病变也可能引起胃疼。如果是胃病一般需要三联用药来治疗的，可选择奥美拉唑、丽珠得乐和克拉霉素。另外肝胆系统疾病也可能导致，先做胃镜排除胃部病变。,您好，根据您的描述，您可能患有慢性胃炎。这种疾病通常与饮食不规律、情绪紧张、长期服用某些药物等因素有关。建议您在饮食上注意清淡，避免辛辣、油腻、刺激性食物，同时保持良好的心态，避免过度紧张和焦虑。此外，您可以考虑服用一些胃药，如奥美拉唑、多潘立酮等，以缓解症状。如果症状持续或加重，建议您及时就医，进行进一步的检查和治疗。希望我的回答对您有所帮助。
甲亢与甲减那哪个好治愈,甲减，即甲状腺功能减退症，是由于机体代谢活动下降，而导致的甲状腺激素水平不足，进而引发的一系列临床综合症。甲亢，即甲状腺功能亢进症，是由于甲状腺激素分泌过多导致的一系列内分泌疾病。甲亢与甲减临床表现恰恰相反，甲减患者临床常出现的症状有：全身浮肿、胃寒、嗜睡、厌食、便秘等。甲亢患者临床常出现的症状有：眼球突出、脾气急躁、食量很大且常饥饿，但体重明显消瘦、心慌多汗，一日内大便数次很多，手足严重发抖等。甲亢和甲减都是机体内分泌系统常见的两种疾病，并同属甲状腺疾病，对患者的危害都是相当之 甲亢是一种内分泌疾病，关于它致病诱因目前还没有确定的说法，一般来说是由于精神压力，心理诱因，劳累或摄碘量过多等造成的，它的症状有很多种，有消瘦，多汗，怕热，心跳加速，吃得很多或厌食，甲状腺肿大，严重的还有突眼现象。甲亢治疗一般需要甲状腺药物治疗、辅助治疗和加强营养的生活治疗。 甲亢药物治疗建议口服他巴唑，倍他乐克和维生素B6，还可以采用碘131治疗。生活治疗是适当休息，饮食给予足够的营养和热量，包括糖，蛋白质，脂肪及B族维生素等，并注意避免精神刺激和过度疲劳。 目前治疗甲亢方法不理想，药物治疗时间过长，手术或碘131治疗，副作用太大对于甲亢，可以试试抗甲状腺药物治疗，辅助治疗和加强营养的生活治疗等。饮食给予足够的营养和热量，包括糖、蛋白质、脂肪及B族维生素等，并注意避免精神刺激和过度疲劳。如果药物治疗效果不佳，建议你妹妹可以选择手术治疗 甲减需要长期服用甲状腺素替代治疗。建议继续服用优甲乐，定期复查甲状腺功能，根据检查结果调整优甲乐用量，甲减，，及甲状腺功能亢进正的简称。是由于甲状腺激素缺乏，机体代谢活动下降所引起的临床综合症。早场家具的因素有恒多，可能是由于先天性的或者是气体一些因素所致。也可以采用西医的方法。比如补充铁剂、VB12等。还可以有其他药物如TH替代治疗 甲亢具体遵医嘱药物治疗。饮食禁忌：忌肥腻食物。如：羊肉、狗肉、母鸡及油腻、油炸食物，以免生痰动火，产生痰热。忌营养不足，要多吃糖、蛋白质和多种维生素类食物。忌摄含碘过多的食物。如：海带、海鱼等海产品。忌食辛辣燥热食物。如：生姜、辣椒、大蒜、酒类。忌多食致甲状腺肿大的食物。如：过量食用大豆、豌豆、卷心菜、菠菜之类，可致甲状腺肿大。 甲亢药物治疗建议口服他巴唑，倍他乐克和维生素B6，还可以采用碘131治疗。生活治疗是适当休息，饮食给予足够的营养和热量，包括糖，蛋白质，脂肪及B族维生素等，并注意避免精神刺激和过度疲劳。,甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是甲状腺功能亢进，甲减是甲状腺功能减退。甲亢和甲减都是甲状腺疾病，甲亢是
以前是贫血，现在反而越补越底我怀孕已经八个多月了，检查出来贫血，请问我可以吃当归、党参、黄芪、枸杞、乌鸡汤吗？,孕妇应改善饮食，吃富含铁的食物。动物性食物中肝脏，血豆腐及肉类中铁的含量高，吸收好。蛋黄中也含有铁，蔬菜中铁的含量较低，吸收差，但新鲜绿色蔬菜中含有丰富的叶酸，叶酸参与红血球的生成，叶酸缺乏造成大细胞贫血，也可引起混合性贫血。因此饮食中既要食入一定量的肉类，肝脏，血豆腐。也要食用新鲜蔬菜。肝脏中既含有丰富的铁，维生素A，也有较丰富的叶酸，维生素A对铁的吸收及利用也有帮助。每周吃一次肝对预防贫血是十分有好处的。 这个情况还好，可以适当吃一点药，治疗一下就行了。1。吃一个月的右旋糖酐铁片，和维生素C片治疗。2。平时注意饮食，均衡营养不要偏食，吃点肉食，蛋豆制品蔬菜，水果等。,您好，根据您的描述，您怀孕八个多月，检查出贫血，建议您在医生的指导下进行治疗。在饮食方面，您可以适量食用当归、党参、黄芪、枸杞、乌鸡汤等食物，这些食物都有一定的补血作用。但是，这些食物并不能完全解决贫血问题，还需要配合药物治疗。建议您及时就医，接受医生的的治疗，同时注意饮食营养的均衡，多吃一些富含铁质的食物，如瘦肉、蛋黄、豆类、绿叶蔬菜等。祝您和宝宝健康！
手关节疼痛是不是骨质酥松？,根据你现在的情况有可能是风湿性疾病。多关节疼痛提示可能存在有风湿性疾病，建议你去医院做个免疫方面的指标化验,您好，手关节疼痛不一定是骨质疏松，也可能是其他原因引起的。骨质疏松是一种骨质疏松症，主要表现为骨量减少、骨质疏松、骨质变脆等。手关节疼痛可能是由于关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎、关节炎
6岁宝宝有时手会发麻是怎么回事,手部麻痛是提示上肢神经受到了卡压。对于颈椎骨刺压迫神经，通过带刃针松开颈椎后关节周围的韧带，并用手法调整颈椎关节的位置，以达到不压迫神经的目的。同时配合中药，物理治疗，热敷，按摩，以改善局部血液循环，增加营养，早日恢复,宝宝手麻是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经炎引起的，是由于末梢神经
肺部有结节影及斑片，是肺炎还是肺癌的表现,所述情况一般常见肺部炎症或者肿瘤可能，建议正规抗炎治疗后复查明确，如果抗炎无效就要考虑肺癌等可能。肺癌的表现：1、咳嗽。肺癌因长在支气管肺组织上，通常会产生呼吸道刺激症状而发生刺激性咳嗽。2、低热。肿瘤堵住支气管后往往有阻塞性肺叶存在，程度不一，轻者仅有低热，重者则有高热，用药后可暂时好转，但很快又会复发。3、胸部胀痛。肺癌早期胸痛较轻，主要表现为闷痛、隐痛、部位不一定，与呼吸的关系也不确定。如胀痛持续发生则说明癌症有累及胸膜的可能。4、痰血。肿瘤炎症致坏死、毛细血管破损时会 肺炎常有受凉淋雨、劳累、病毒感染等诱因，约1/3患病前有上呼吸道感染。肺癌早期有咳嗽、低热、痰血等症状。肺癌CT表现为毛刺状，形状不规则。你可以根据自己的有无淋雨受寒史判断自己的症状是哪种疾病。建议你随时去医院检查。平时要多运动以增强抵抗力，多吃新鲜蔬菜和水果，保持好心情。 肺部有结节影及斑片，有可能是肺炎，无淋巴结肿大，排除肿瘤，结核，肺脓肿或其它占位也可能。如果按肺炎再治疗一周后做CT复查，如果再无好转，基本可排除肺炎。如果静止不生长的话就定期复查。如果那部位可以做支气管镜的话最好做一个，医院有能力穿刺活检的话也可以做个活检，总之及早定性，以便进一步诊治。真是恶性的话及早手术，越早预后越好。希望你能早日康复。,肺部有结节影及斑片，可能是肺炎的表现，也可能是肺癌的表现。肺炎是由细菌、病毒、真菌、衣原体、支原体、立克次体、螺旋体、寄生虫等病原体感染引起的肺部炎症。肺癌是肺实质内原发性恶性肿瘤的临床症状，早期症状不明显，中晚期症状明显，如咳嗽、咳痰、胸痛、胸闷、气短、发热、咯血、声音嘶哑、消瘦、乏力、食欲不振、心悸、水肿等。肺部有结节影及斑片，需要进一步检查，明确诊断，然后对症治疗。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染治疗，肺癌的治疗主要是手术治疗、化疗、放疗、靶向治疗、免疫治疗等。肺炎的治疗主要是抗感染
